ID 2011,ID 2004,ID 1992,General location,Additional location information,"Figure location reference (see figs. 1 and 3, table 1)",Type of slope movement,Season,Year,Month,Day,Time (PST),Minimum volume,Median/best estimate volume,Maximum volume,Relative size,Rock unit,Triggering condition(s),Deaths,Injuries,Infrastructure impacts,Published references,Narrative descriptions
1872032604,11,8,Indian Canyon,Indian Canyon,F3-6,RF,Spring,1872,3,26,2:30,500,2000,5000,large,Ks,EQ,0,0,none,Kneeland (1872),"From Kneeland (1872):  John Muir noted that ""other avalanches occurred in Indian and Illilouette canyons."" "
1872032605,12,9,Illilouette Gorge,Illilouette Gorge,F3-15,RF,Spring,1872,3,26,2:30,500,2000,5000,large,Khd,EQ,0,0,none,Kneeland (1872),"From Kneeland (1872):  John Muir noted that ""other avalanches occurred in Indian and Illilouette canyons."" "
1872032606,13,10D,Union Point,Eagle Rock,"F3-17, ER",RS,Spring,1872,3,26,3:30,500,2000,5000,large,Kgp,EQ,0,0,none,Kneeland (1872),"From Kneeland (1872):  John Muir noted that ""A second well-defined shock, about an hour after the first, was followed by another avalanche of rocks from the region of 'Eagle Rock'."" [see ID 1872032601]         "
1873030501,,,Yosemite Falls,Sunnyside Bench,"F3-5, SB",SA,Winter,1873,3,5,n/a,0.5,2,5,very small,Ks/Kec,SA,0,0,none,Wolfe (1938),"From Wolfe (1938):  ""Sunnyside Observations:  I [John Muir] came up into my camp by the path of a snow avalanche that the trail follows through laurel groves a little to the west of Indian Canyon.  I noticed some sturdy, tough live-oaks that the rock and snow avalanche had cut off.  One nearly three feet in diameter had been cut sheer in two by a single stone..."""
1873031201,14,12R,Three Brothers,Middle Brother,"F3-4, MB",RF,Winter,1873,3,12,n/a,5000,20000,50000,very large,Ks/Kec,UKN,0,0,none,Muir (1960),"From Muir (1960):  ""On the 12th of March, 1873, I witnessed a magnificent avalanche in Yosemite Valley from the base of the second of the Three Brothers.  A massive stream of blocks bounded from ledge to ledge and plunged into the talus below with a display of energy inexpressibly wild and exciting.  Fine gray foam-dust boiled and swirled along its path, and gradually rose above the top of the cliff, appearing as a dusky cloud on the calm sky.  Unmistakable traces of similar avalanches are visible here, probably caused by the  decomposition of the feldspathic veins with which the granite is interlaced.""                             "
1886000001,18,15R,Indian Canyon,Indian Canyon,F3-6,RS,Fall,1886,n/a,n/a,n/a,500,2000,5000,large,Qat,UKN,0,0,trail,,"According to the Guardian's Report 11, p. 184, 191, 223 (unpub.): Fall, 1886:  In a 5 December 1886, letter from W.E. Dennison to I.W. Raymond, the Yosemite Valley Guardian described a rock slide on the Indian Canyon Trail:  ""Roughly estimating the cost of reopening the Indian Canyon Trail on the old grade and of cutting a new course through the slide [which caused the trail's abandonment] about 1200 feet, I should ask an allowance of from $200 to $250.  As the summit is approached the labor is very much increased.""          "
1886032101,15,,Merced River Gorge,El Portal Road / Arch Rock,"F1, AR",RF,Spring,1886,3,21,am,-,1500,-,large,Kga,UKN,1,0,trail,"Mariposa Gazzette (1886a,b), Ghiglieri and Farabee, Jr. (2007)","(1) From the Mariposa Gazette (27 March 1886, p. 3 col. 2):   ""A man known as Jack Allen, an old timer about Bull creek and latterly in Yosemite Valley, was killed last Sunday by the falling of towering rocks above the Yosemite trail, between Whorton's [El Portal] and the Cascades on the Merced River.  The surveying party were in the vicinity at the time and hearing the crash, Jarvis Streeter Jr. and Wade Suff went to see the cause and found Allen still alive.  He had been struck by a boulder as he was walking along, and fatally injured and, lived but a short time after he was found.  He was cared for as well as circumstances would admit of, and was buried in the Big Meadows on the Coulterville road below the Valley.""     (2) From the Mariposa Gazette (3 April 1886, p. 3, col. 4):  ""It was a sad day for poor Jack Allen when he fell victim to one of the remarkable freaks of nature, in the shape of a cave[-in] or a slide from a high and almost perpendicular mountain, which overhangs the trail leading up the Merced river, about three miles below the romantic spot known as the Cascade Falls.  It is a lonely, uninhabited section of the river for miles either way from where the accident occurred, and the travel along the trail would scarcely average one person a day the whole year round.  In the course of time, there has evidently been some very heavy land slides at this and other points along the river, where the high pre[c]ipitate mountains forms a deep canyon through which the beautiful Merced river passes after leaving the Great Valley, a short distance above.  It was on the 21st day of last month (March 1886), when poor Jack was plodding his way along this lonely trail leading to the Yosemite Valley, with a view, no doubt, to seeking employment during the business season.  As he was passing underneath the terrible avalanche, he must have heard the noise and turned around to look back, bringing his right side toward the mountain, as the rock struck him.  When examined, four ribs on the right side were broken, his right ankle was badly broken, and leg immediately below the knee crushed and right arm broken.  He had evidently been hurt about an hour, when the two boys, Streeter and Duff, of the surveying party, found him, which was about noon.  He was alive and could talk a little.  Had it not been for the road Surveyors, Gould & Co. who were encamped at the Cascade Falls, the accident would, no doubt, have been unknown for some days afterwards.  They had broken up camp that morning; Gould and two of his men had gone off on the mountain toward the Big Meadow to hunt a section corner.  Streeter and Duff were to go ahead down the river to Whorton's, below, to see about some animals, leaving Frank Latchaw with the pack animals to bring up the rear.  The surveying party had about completed the survey of road and were preparing to start for home.  When Streeter and Duff came upon the slide from the mountain they found the trail embedded to such an extent that it was impassible for an animal, and were about starting back to inform Latchaw who was in charge of the pack train when they discovered a bundle or sack filled with something that had the appearance of clothes, belonging to some late traveler.  The thought that some one might have been passing and caught in the mighty dead-fall, occurred to them when they commenced to allo; and repeated some several times, when their first presentiments were realized, by a faint response coming from among the rocks and debris some 15 or 20 yards below where the trail passed.  They soon found the unfortunate man lying prostrate upon the rocks and put him in as comfortable position as they possibly could.  After a short consultation with the wounded man it was decided to go back as quick as possible for other help.  Allen had told the boys he could not live long, so away they went as speedily as possible to inform the other members of the surveying party of the accident.  Latchaw, with his train, was intercepted and turned back as it was impracticable to get down the river owing to the condition of the trail caused by the slide.  They then went on to the mountain in search of Gould and the two assistants, Coop and Gallison, who were with him, and as soon as found, they all hastened to the spot where Allen was last seen alive.  Nearly five hours had elapsed since he was found by Duff and Streeter, before this party returned.  Allen had, in his last agonies, struggled and got himself in an upright sitting position, in which he had died.  How long he had been dead was hard to tell, it was a pity to have left him alone after being found, although no more relief could be given than was done by the boys before they left him at noon.  The next thing to be done was to convey the body to some place for burial and the nearest respectable point was the Big Meadow, about six miles away.  To accomplish this, two and a half miles of trail was to be gone over before reaching the Coulterville wagon road, and from thence up a steep mountain some two miles long; from thence to the spot of interment.    This was no small task; a litter had to be cons[t]ructed out of the bushes and poles, trail being quite narrow, it fell upon two men at a time to carry the dead man until the wagon road was reached.  The next morning Surveyor Gould transformed himself into an undertaker and made a rude coffin, while others dug the grave, by the side of unfortunate John Johnson, who, a short time since was found dead on the Oak Flat Road, though to have perished from cold and exhaustion.  Thus concludes a chapter of the last days of poor John Henry Allen, who met with death under such peculiar circumstances.  He was a native of Nova Scotia, aged 57 or 58 years, and was a pioneer of this county."""
1886041701,16,,Union Point,Union Point,F3-17,RF,Spring,1886,4,17,n/a,-,1000,-,large,Kec,UNR,0,0,none,Mariposa Gazette (1886c),"From Mariposa Gazette (24 April 1886, p.3):  ""Yosemite Valley, April 18th, 1886.   Editor Gazette--Sir:--After a long period of most disagreeable weather on record, it has ""cleared up,"" and although the wind is somewhat chilling in the shaded portions of the Valley, the ""orb of day"" sends forth its rays of light and warmth sufficiently to create a feeling of cheerfullness [sic] for the benumbed and mud-bediggled tourist and cause him to withdraw his previously expressed opinions of the ""blarsted"" country and scenery, for no one with any appreciating powers for the sublime could fail to be more than satisfied with the grandeur of the surroundings.  Yesterday, there appeared on the ""board"" something that was not down on the bills, that which for its awful magnificence is seldom witnessed by the visitor, which sent terror to the timid, and caused the stoutest heart to throb with feelings of the deepest apprehension, while some went into ecstacy [sic] over the grandeur and novelty of the occurrence.  The event to which I refer was an enormous slide or fall of rock from or near ""Union Point,"" between Cook's and Barnard's Hotels, consisting mostly of massive rocks, many of which were hurled a thousand feet or more, and out a considerable distance into the Valley, burying them deep in the soil and gravel.  One, very near 20 x 30 feet, striking in a mass of smaller bowlders [sic] and gravel sinking nearly its whole size and breaking in a pile resembling the works of dynamite.  The effect on different individuals was varied.  One man swung his hat and said he would not have missed the sight for a thousand dollars, another when told of his rare good luck in having an opportunity to witness such a novelty, replied: ""O, don't say a novelty to me.  I wouldn't live here for any money.  Travel has been impeded by the heavy storms for the past few weeks but it is expected that a large number will arrive in a few days...."""
1886041901,17,14R,Sentinel Rock,Sentinel Rock,F3-18,RS,Spring,1886,4,19,n/a,50,200,500,medium,Ks,UKN,0,0,none,,"According to the Guardian's Report 2, p. 133 (unpub.):  19 April 1886: Guardian W.E. Dennison observed ""an avalanche of rocks, some as large as a stagecoach, came down back of Hill's Studio.  A few fragments were hurled through the fence into 'Cooks field'.  Whatever damage was done, if any the trail suffered.""  [According to the report, Dennison saw the rock slide as an omen related to continued problems in getting McCauley to maintain the Four Mile Trail to Glacier Point.]                   "
1886050001,29,26D,Union Point,Four Mile Trail,"F3-17, 4M",RS,Spring,1886-1905,5,n/a,n/a,-,3,-,very small,Kgp/Kec,UKN,0,0,none,,"(1) According to John Degnan in ""Notes of Early Days in Yosemite"" (written commun., 13 December 1941):   ""I [Degnan] had many narrow escapes myself.  On one occasion I was working about half a mile up the Glacier Point Trail.  Two men above me were getting out sand and clay for the trail.  All of a sudden, a huge rock came down and smashed the shovel in my hand.""     (2) According to Jim Snyder (written commun.):  ""This slide probably occurred in spring, about May, because it was the practice to work on the trails and roads each spring to open up the drainages, preventing erosion.  The same work would be done each fall, to prepare the trails for winter.""   "
1886050002,30,27D,Glacier Point,Four Mile Trail,"F3-17, 4M",RS,Summer,1886-1905,5-9,n/a,n/a,500,2000,5000,large,Kgp,UKN,0,0,trail,,"(1) According to John Degnan (written commun., 13 December 1941) in ""Notes of Early Days in Yosemite"":   ""Another time we were up near Glacier Point before you get to the last zigzag about three miles up.  A lot of us were on the trail, when a long saddle train of about 50 horses came along, and we all stepped to the side to let them pass, leaving our tools beside the trail.  The last horse had just passed when there was a tremendous rock slide that closed the trail for half a mile.  Fortunately, no one was killed.""     (2) According to Jim Snyder (written commun., 25 February 1992):  ""The slide appears to have occurred late spring or during the summer, sometime between May and September, judging from the long saddle train that was on the trail at the same time coming down from Glacier Point.  The last switchbacks on the old trail were stacked up in a chute and called 'The Zigzags' or sometimes 'The Tramway'.  The ""new"" trail, built in the 1920's went around this section of the old trail, which clung to narrow ledges and was overhung by cliffs.""                     "
1892050101,19,16D,Glacier Point,Four Mile Trail,"F3-17, 4M",RS,Spring,1892,5,1,n/a,0.5,2,5,very small,Kgp,UKN,0,0,trail,,"(1) According to the Guardian's Report 9, p. 40 (unpub.):  ""May 1, 1892:  A snow slide on the Four Mile Trail at ""the tramway and upper zigzags"" probably brought rock down on the trail with it.""     (2) According to Snyder (written commun., 7 April 1992):  ""A snow slide in this vicinity would usually go right over the trail.  But later in the year in this very fractured area, slides would have hit the trail and contain more rock than snow.""      "
1892121901,20,17D,Giant Staircase,Nevada Fall,"F3-13, NF",RS,Fall,1892,12,19,n/a,5,20,50,small,Qat,P,0,0,trail,,"According to the Guardian's Report 9, May-June 1893 (unpub.):  ""December 19, 1892:  A flood and Mono wind on this date damaged trails which were being fixed in the spring.  Flood damage to the Nevada Fall trail in the vicinity of 'Casa Nevada' ... was notable.  In May 1893, state crews were blasting rocks from the flooding off these trails.""     "
1892121902,21,18D,Yosemite Falls,Yosemite Falls Trail,"F3-5, FT",RS,Fall,1892,12,19,n/a,5,20,50,small,Kec,P,0,0,trail,,"(1) According to the Guardian's Report 9, May-June 1893 (unpub.):  ""December 19, 1892: A flood and Mono wind on this date damaged trails which were being fixed in the spring.  Flood damage to the Nevada Fall trail in the vicinity of 'Casa Nevada' ... was notable.  In May 1893, state crews were blasting rocks from the flooding off these trails.""     (2) According to Galen Clark in a letter to John P. Irish (written commun., 23 April 1893):  ""The trail to the foot of the Upper Yosemite Fall was put in good repair two weeks ago.  From that point up through the canyon the trail much of the distance is completely washed out by the big floods of water from heavy rain storms during the past winter which broke over and carried away all barriers across the trail.""                  "
1897012601,22,19,Union Point,Union Point,F3-17,RS,Winter,1897,1,26,n/a,5,20,50,small,Kgp,UKN,0,0,trail,,"According to the Guardian's Report 11, p. 49 (unpub.):  ""January 26, 1897: There was a rock slide on the Four Mile Trail near Union Point.""    "
1898000001,23,20D,Giant Staircase,Nevada Fall,"F3-13, NF",RS,Winter,1898-99,n/a,n/a,n/a,5,20,50,small,Khd,UKN,0,0,trail,,"According to the Guardian's Report 10, April 1899, p. 34 (unpub.):  ""Winter, 1899: A slide was removed from the Nevada Fall Trail.  This was probably winter damage removed in April.""    "
1900040001,24,21,Glacier Point,Four Mile Trail,"F3-17, 4M",RS,Spring,1900,4,n/a,n/a,5,20,50,small,Kgp/Kec,UKN,0,0,trail,,"According to the Guardian's Report 10, April 1900, p. 393 (unpub.):  ""April 1900: A slide was reported on the Four Mile Trail."" "
1901040001,25,22,Glacier Point,Four Mile Trail,"F3-17, 4M",RS,Spring,1901,4,n/a,n/a,5,20,50,small,Kgp/Kec,UKN,0,0,trail,,"According to the Guardian's Report 10, April 1901, p. 436 (unpub.):  ""April 1901: There was a rock slide on the Four Mile Trail."" "
1901050001,26,23D,Giant Staircase,Mist Trail,"F3-13, MT",RF,Spring,1901,5,n/a,n/a,0.5,2,5,very small,Khd,UKN,0,0,trail,Foley (1901),"(1) From Foley (1901):  ""a rock slide across the Mist Trail was bridged by a board.""     (2) According to Jim Snyder (written commun., 4 November 1992):  ""The old Mist Trail was narrower than the present trail.  When the trail runs out of talus to run on, it had to use narrow joints in the cliffs.  This cliff at the west end of the trail is the one place where they would have had to use a board to bridge about 10 feet of trail."""
1901050002,27,24,Glacier Point,Four Mile Trail,"F3-17, 4M",RS,Spring,1901,5,n/a,n/a,5,20,50,small,Kgp/Kec,UKN,0,0,trail,,"According to the Guardian's Report 10, May 1901, (unpub.):  ""May 1901: There was a rock slide on the Four Mile Trail ..."" "
1901060001,28,25,Yosemite Falls,Yosemite Falls Trail,"F3-5, FT",RS,Spring,1901,6,n/a,n/a,5,20,50,small,Kec,UKN,0,0,trail,,"According to the Guardian's Report 10, May 1901, (unpub.): ""May 1901: There was a rock slide on the Four Mile Trail and another slide on the Yosemite Falls Trail."""
1907000001,31,28R,Giant Staircase,Nevada Fall,"F3-13, NF",RS,Winter,1907,n/a,n/a,n/a,5000,20000,50000,very large,Khd,R/S,0,0,trail,Clapp et al. (1908),"(1) According to Harry Benson, National Park Service, (written commun., 14 April 1908):  ""Winter: 1907?:  800 feet of the Nevada Fall Trail was wiped out by a slide.  On the Nevada Fall Trail below Liberty Cap ""practically the whole hillside was destroyed"".  Superintendent Sovulewski noted  that there were two more slides in this area during the next twenty years.""     (2) According to Jim Snyder (written commun., 15 December 2003):  ""A rain on snow event on 16-26 March 1907 caused flooding on the Merced River (Clapp et al., 1908) and probably triggered this rock slide."" "
1909010001,32,29D,Yosemite Falls,Yosemite Falls Trail,"F3-5, FT",RS,Winter,1909,1,n/a,n/a,500,2000,5000,large,Kec,P,0,0,trail,Young and Cruff (1967),"(1) According to Sovulewski, National Park Service, (written commun., April 1909):  January 1909:  ""Beginning from the foot of the upper fall for about a mile, the [Yosemite Falls] trail was practically destroyed by slides.""      (2)  According to Young and Cruff (1967), a significant storm occurred on 13 January 1909, producing the highest water level of 1909 on the Merced River."
1909010002,33,30D,Wawona Road,Fort Monroe,"F1, FM",RS,Winter,1909,1,n/a,n/a,50,200,500,medium,Kec/Kdg,P,0,0,road,Young and Cruff (1967),"(1) According to Sovulewski, National Park Service, (written commun., April 1909):  January, 1909:  ""The Wawona Road was damaged heavily to Fort Monroe.""      (2)  According to Young and Cruff (1967), a significant storm occurred on 13 January 1909, producing the highest water level of 1909 on the Merced River."
1909010003,34,31,Rockslides,Old Big Oak Flat Road,"F3-2, OB",RS,Winter,1909,1,n/a,n/a,50,200,500,medium,Kec/Kdg,P,0,0,road,Young and Cruff (1967),"(1) According to Sovulewski, National Park Service (written commun., April 1909): January 1909:  ""Rocks on the Big Oak Flat Road were blasted.""     (2)  According to Young and Cruff (1967), a significant storm occurred on 13 January 1909, producing the highest water level of 1909 on the Merced River."
1911011601,35,32,Merced River Gorge,El Portal Road,F1,RS,Winter,1911,1,16-31,n/a,5,20,50,small,Ka/Kga,P,0,0,road,,"From Superintendent's Monthly Report, January 1911:  ""Heavy rains and snow storms have prevailed in the valley almost continuously, such that the only work attempted has been the repair and maintenance of electric lines and roads.  One heavy slide and one serious washout with numerous smaller slides and washouts occurred on the El Portal Road.  The road was rendered actually impassible only a few hours; but for two days stages would have gotten over the road with some difficulty.  The downpour of rain was long and heavy .... ""           "
1912000001,36,33,Hetch Hetchy ,Hetch Hetchy Road,F1,RS,Spring,1912,n/a,n/a,n/a,5,20,50,small,Kg/Kec,UKN,0,0,trail,,"From Hetch Hetchy Marches, 1912, p. 1 (unpub.) Spring, 1912:  ""Two rock slides were fixed by a cavalry patrol about five miles from the Hetch Hetchy outpost.  Presumably the slides were on the trail into Hetch Hetchy from 'Hog Ranch.' "" "
1912120001,37,34D,Three Brothers,Middle Brother,"F3-4, MB",RF,Fall,1912,12,n/a,n/a,50,200,500,medium,Ks/Kec,UKN,0,0,vehicle,,"From Superintendent's Monthly Report, December 1912:  ""We had a slide [rock fall] above Rocky Point during the month, and a large rock came down and struck our road grader destroying the outside frame entirely.  I doubt whether we can use it any more.""  "
1913060401,38,35,Merced River Gorge,El Portal Road / Arch Rock,"F1, AR",RS,Spring,1913,6,4,n/a,50,200,500,medium,Kga,P,0,0,road,,"From Superintendent's Monthly Report, May 1913:  ""Owing to the heavy storms at the end of May and first of June, a great deal of damage was done both to the roads and trails in the park; practically all of the repairs have to be done over again.  On the 4th of June a cloud burst below Arches Rocks on the El Portal road brought down several slides and damaged the road badly for about 1 1/2 miles, and injured other parts of the road as far as the Cascades, for a distance of about 3 1/2 miles.  Ten stages were blocked between El Portal and Arches Rocks on account of the slides, on the afternoon of June 4th.  The road was opened for traffic by 9:00 a.m. on the morning of June 5th.  The slides were taken out, and repairs that were immediately needed were made by the force of men under the Resident Engineer on the improvement of the El Portal road from its junction with the Coulterville road towards the park boundary.  One hundreds days labor was expended for the immediate repairs, costing about $250.""                       "
1913060402,39,36,Wawona Road,Fort Monroe,"F1, FM",DS,Spring,1913,6,4,n/a,5,20,50,small,Qat,P,0,0,road,,"From Superintendent's Monthly Report, May 1913:  ""The Wawona Road was repaired from the floor of the valley to Fort Monroe, a distance of 4 miles.  The storm [4 June 1913] also injured this road, and also the Big Oak Flat Road, but repairs were made to these two roads with only small additional help.""     "
1913060403,40,37,Rockslides,Old Big Oak Flat Road,"F3-2, OB",DS,Spring,1913,6,4,n/a,5,20,50,small,Qat,P,0,0,road,,"From Superintendent's Monthly Report, May 1913:  ""The storm [4 June 1913] also injured this road [Wawona Road], and also the Big Oak Flat Road, but repairs were made to these two roads with only small additional help."""
1913070001,41,38,Giant Staircase,Vernal Fall / Nevada Fall,"F3-13, VF, NF",RS,Spring,1913,7,n/a,n/a,5,20,50,small,Khd,P,0,0,trail,,"(1) From Superintendent's Monthly Report, July 1913: ""The repairs of ledge trails during July were rather heavy on account of cloud bursts and heavy, unexpected rains.  The Vernal and Nevada Falls trail suffered the most.""  [This rock slide damage may have occurred on 4 June 1913, but was repaired only in July 1913]    "
